"Occupation Title","Occupation Code","Employment 2020","Employment 2030","Employment Change, 2020-2030","Employment Percent Change, 2020-2030","Occupational Openings, 2020-2030 Annual Average","Median Annual Wage 2020","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode"
"Agricultural sciences teachers, postsecondary    * Agricultural Soil Conservation Professor* Agronomy Professor* Animal Husbandry Professor* Animal Science Professor* Aquaculture and Fisheries Professor* Farm Management Professor* Floriculture Professor* Horticulture Instructor* Olericulture Professor","=""25-1041""","9.9","10.4","0.5","5.0","1.0","90,340","Doctoral or professional degree","1","None","4","None","6"
"Agricultural workers, all other    * Crop Scout* Irrigation Worker* Livestock Showman","=""45-2099""","12.3","12.9","0.6","4.9","2.0","30,140","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Air traffic controllers    * Air Traffic Control Operator* Air Traffic Control Specialist* Air Traffic Controller* Air Traffic Coordinator* Airport Tower Controller* Control Tower Operator* Enroute Controller","=""53-2021""","24.5","25.5","0.9","3.8","2.5","130,420","Associate's degree","4","None","4","Long-term on-the-job training","3"
"Aircraft cargo handling supervisors","=""53-1041""","11.0","12.3","1.3","11.9","1.4","53,610","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"Aircraft mechanics and service technicians    * A&P Mechanic* Aircraft Engine Mechanic* Aircraft Engine Specialist* Airframe Mechanic* Airframe and Power Plant Mechanic* Airplane Rigger* FAA Certified Powerplant Mechanic* Flight Test Mechanic* Helicopter Mechanic* Jet Engine Mechanic* Propeller-Driven Airplane Mechanic","=""49-3011""","130.1","145.4","15.3","11.8","12.7","66,440","Postsecondary nondegree award","5","None","4","None","6"
"Aircraft service attendants and transportation workers, all other","=""53-6098""","32.1","36.7","4.5","14.1","5.1","37,790","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Aircraft structure, surfaces, rigging, and systems assemblers    * Aircraft De-Icer Installer* Aircraft Fuselage Framer* Aircraft Layout Worker* Aircraft Line Assembler* Aircraft Part Assembler* Aircraft Riveter* Aircraft Sheet Metal Mechanic* Helicopter Airframe Mechanic* Propeller Layout Worker* Wing Coverer","=""51-2011""","37.8","31.7","-6.0","-15.9","3.2","53,160","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Airfield operations specialists    * Aviation Operations Specialist* Flight Operations Coordinator","=""53-2022""","10.4","11.7","1.3","12.9","1.2","51,330","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Airline pilots, copilots, and flight engineers    * Airline Captain* Airline Pilot* Airline Pilot Flight Instructor* Airline Pilot In Command* Airline Pilot Second In Command* Airline Transport Pilot* Charter Pilot (Air Transport Pilot Certificate Required)* Charter Pilot (Airline)* Regional Airline Pilot","=""53-2011""","74.7","85.0","10.3","13.7","9.6","160,970","Bachelor's degree","3","Less than 5 years","2","Moderate-term on-the-job training","4"
"Ambulance drivers and attendants, except emergency medical technicians    * Ambulance Attendant* Emergency Medical Services (EMS) Driver* Emergency Medical Services Driver","=""53-3011""","14.2","16.5","2.3","16.3","1.9","27,930","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Amusement and recreation attendants    * Amusement Park Worker* Animal Ride Attendant* Arcade Attendant* Carnival Worker* Ferris Wheel Operator* Golf Caddy* Ice Rink Attendant* Ride Operator* Rides Attendant* Ski Lift Attendant* Ski Lift Operator* Sports Complex Attendant","=""39-3091""","264.4","349.8","85.4","32.3","72.9","24,760","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Anesthesiologists","=""29-1211""","31.3","31.2","-0.2","-0.5","0.8",">=208,000","Doctoral or professional degree","1","None","4","Internship/residency","1"
"Animal breeders    * Animal Breeder* Cat Breeder* Dairy Husbandry Worker* Dog Breeder* Equine Breeder* Horse Breeder* Livestock Breeder* Poultry Inseminator* Stallion Manager","=""45-2021""","8.4","8.2","-0.3","-3.2","1.3","40,770","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Animal caretakers    * Animal Care Giver* Animal Care Technician* Animal Caregiver* Animal Daycare Provider* Animal Groomer* Animal Shelter Worker* Animal Sitter* Aquarist* Aquarium Tank Attendant* Cat and Dog Bather* Dog Bather* Dog Beautician* Dog Groomer* Dog Sitter* Horse Exerciser* Kennel Aide* Kennel Attendant* Kennel Helper* Kennel Worker* Pet Feeder* Pet Groomer* Pet Sitter* Pet Stylist* Zookeeper","=""39-2021""","272.4","366.1","93.6","34.4","56.4","26,080","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Animal control workers    * Animal Control Officer* Animal Cruelty Investigator* Animal Treatment Investigator* Animal Warden* Dog Catcher* Dog Warden* Humane Officer","=""33-9011""","11.8","13.0","1.2","10.5","1.2","38,430","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Animal scientists    * Animal Geneticist* Animal Nutritionist* Animal Scientist* Beef Cattle Nutritionist* Dairy Scientist* Poultry Scientist* Swine Genetics Researcher","=""19-1011""","3.5","3.9","0.3","9.7","0.4","63,490","Bachelor's degree","3","None","4","None","6"
"Animal trainers    * Animal Trainer* Dog Handler* Dog Trainer* Dolphin Trainer* Guide Dog Instructor* Guide Dog Mobility Instructor* Guide Dog Trainer* Horse Breaker* Licensed Guide Dog Instructor* Lion Trainer* Marine Mammal Trainer* Seeing Eye Dog Trainer","=""39-2011""","60.2","77.4","17.2","28.5","9.9","31,520","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Anthropologists and archeologists    * Anthropologist* Applied Anthropologist* Archaeologist* Ethnoarchaeologist* Medical Anthropologist* Physical Anthropologist* Political Anthropologist* Research Anthropologist* Research Archaeologist","=""19-3091""","8.5","9.1","0.6","7.4","0.8","66,130","Master's degree","2","None","4","None","6"
"Anthropology and archeology teachers, postsecondary    * Cultural Anthropology Professor* Ethnoarchaeology Professor* Near East Archeology Professor* Paleology Professor* Sociocultural Anthropology Professor","=""25-1061""","6.7","7.2","0.5","8.1","0.7","89,220","Doctoral or professional degree","1","None","4","None","6"
"Arbitrators, mediators, and conciliators    * Alternative Dispute Resolution Coordinator* Mediation Commissioner* Ombudsman","=""23-1022""","6.9","7.6","0.7","9.7","0.4","66,130","Bachelor's degree","3","Less than 5 years","2","Moderate-term on-the-job training","4"
"Architects, except landscape and naval    * Building Architect* Building Architectural Designer* Structural Architect","=""17-1011""","126.7","130.7","3.9","3.1","9.4","82,320","Bachelor's degree","3","None","4","Internship/residency","1"
"Architectural and civil drafters    * Architectural Drafter* Building Drafter* Civil Computer-Aided Design and Drafting Technician* Civil Drafter* Structural Drafter","=""17-3011""","99.9","99.0","-0.9","-0.9","9.3","57,500","Associate's degree","4","None","4","None","6"
"Architectural and engineering managers    * Electrical Engineering Director* Engineering Design Manager* Engineering Manager* Engineering Research Manager* Global Engineering Manager* Mechanical Engineering Director* Process Engineering Manager","=""11-9041""","197.8","205.9","8.1","4.1","14.7","149,530","Bachelor's degree","3","5 years or more","1","None","6"
"Architecture teachers, postsecondary    * Architectural Design Professor* Architecture Professor* Interior Design Professor* Landscape Architecture Professor","=""25-1031""","8.5","9.2","0.7","8.3","0.9","90,880","Doctoral or professional degree","1","None","4","None","6"
"Archivists    * Archivist* Digital Archivist* Film Archivist* Historical Records Administrator* Image Archivist* Museum Archivist* Processing Archivist* Reference Archivist* State Archivist","=""25-4011""","8.1","9.0","0.9","10.9","1.0","56,760","Master's degree","2","None","4","None","6"
"Area, ethnic, and cultural studies teachers, postsecondary    * African Studies Professor* Asian Studies Professor* Black Studies Professor* Ethnology Professor* Gender Studies Professor* Latin American Studies Professor* Women's Studies Professor","=""25-1062""","12.1","13.1","1.1","8.8","1.3","78,840","Doctoral or professional degree","1","None","4","None","6"
"Art directors    * Art Director* Magazine Designer","=""27-1011""","98.5","109.4","10.8","11.0","11.5","97,270","Bachelor's degree","3","5 years or more","1","None","6"
"Art, drama, and music teachers, postsecondary    * Ballet Professor* Graphic Design Professor* Music Professor* Photography Professor* Piano Performance and Pedagogy Professor* Piano Professor* Scene and Lighting Design Lecturer* Stagecraft Professor* Theatre Professor* Voice Professor","=""25-1121""","109.3","120.3","11.0","10.1","11.6","69,690","Master's degree","2","None","4","None","6"
"Artists and related workers, all other    * Calligrapher* Tattoo Artist","=""27-1019""","12.6","13.8","1.2","9.5","1.5","65,800","No formal educational credential","8","None","4","Long-term on-the-job training","3"
"Astronomers    * Astronomer* Astrophysicist","=""19-2011""","2.1","2.2","0.1","4.5","0.2","119,730","Doctoral or professional degree","1","None","4","None","6"
"Athletes and sports competitors    * All Terrain Vehicle Racer* Athlete* Auto Racer* Baseball Pitcher* Baseball Player* Basketball Player* Bicycle Racer* Bicyclist* Billiard Player* Bowler* Bull Rider* Car Racer* Cyclist* Dirt Bike Racer* Drag Car Racer* Figure Skater* Football Player* Golfer* Hockey Player* Horse Racer* Ice Skater* Jockey* Kick Boxer* Motocross Racer* National Association for  Stock Car Auto Racing Driver* Prize Fighter* Professional Bass Fisher* Professional Soccer Player* Pugilist* Race Car Driver* Roller Skater* Skater* Skier* Snowboarder* Softball Player* Stock Car Driver* Surfer* Swimmer* Tennis Player* Volleyball Player* Wrestler","=""27-2021""","16.7","23.0","6.3","38.0","3.4","50,850","No formal educational credential","8","None","4","Long-term on-the-job training","3"
"Athletic trainers    * Athletic Trainer* Certified Athletic Trainer* Clinical Athletic Instructor* Resident Athletic Trainer","=""29-9091""","30.0","37.0","7.0","23.4","3.1","49,860","Bachelor's degree","3","None","4","None","6"
"Atmospheric and space scientists    * Atmospheric Chemist* Atmospheric Scientist* Climatologist* Hurricane Tracker* Meteorologist* Oceanographic Meteorologist* Space Scientist* Storm Chaser* Tornado Chaser* Warning Coordination Meteorologist* Weather Analyst* Weather Forecaster* Weatherman","=""19-2021""","10.7","11.6","0.9","8.3","1.0","99,740","Bachelor's degree","3","None","4","None","6"
"Atmospheric, earth, marine, and space sciences teachers, postsecondary    * Climatology Professor* Earth Science Professor* Geology Professor* Geoscience Professor* Meteorology Professor* Mineralogy Professor* Oceanic Sciences Professor* Oceanography Professor* Volcanology Professor","=""25-1051""","13.6","14.5","0.9","6.4","1.4","94,520","Doctoral or professional degree","1","None","4","None","6"
"Audio and video technicians    * Audio-Visual Production Specialist* Event AV Operator* Event Crew Technician* Multimedia Production Assistant* Video Control Operator* Video Equipment Technician* Video Production Assistant","=""27-4011""","73.9","93.3","19.4","26.2","10.2","47,920","Postsecondary nondegree award","5","None","4","Short-term on-the-job training","5"
"Audiologists    * Audiologist* Clinical Audiologist* Dispensing Audiologist* Educational Audiologist* Hearing Therapist* Licensed Audiologist* Pediatric Audiologist","=""29-1181""","13.7","15.8","2.1","15.7","0.8","81,030","Doctoral or professional degree","1","None","4","None","6"
"Audiovisual equipment installers and repairers    * Cable Installation Technician* Electric Organ Checker* Electronic Musical Instrument Repairer* Home Stereo Equipment Installer* Home Theater Installer* Satellite Dish Installer* Stereo Equipment Installer* Television Installer* Television Repairer* Wireless Internet Installer","=""49-2097""","29.9","28.8","-1.1","-3.8","3.0","41,460","Postsecondary nondegree award","5","None","4","Short-term on-the-job training","5"
"Automotive and watercraft service attendants    * Auto Service Station Attendant* Gas Pump Attendant* Gas Station Attendant* Gas and Oil Servicer* Oil Changer* Pump Jockey* Service Station Attendant","=""53-6031""","115.7","120.7","5.0","4.3","16.4","26,540","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Automotive body and related repairers    * Auto Body Customizer* Auto Body Technician* Auto Body Worker* Auto Bumper Straightener* Body Shop Worker* Body and Frame Technician* Car Refinisher* Truck Body Repairer* Vehicle Body Sander","=""49-3021""","153.7","161.8","8.1","5.3","15.2","45,350","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Automotive glass installers and repairers    * Auto Glass Installer* Auto Glass Mechanic* Automotive Glass Technician* Automotive Glazier* Windshield Installer* Windshield Repair Technician","=""49-3022""","19.7","21.5","1.7","8.8","2.3","37,710","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Automotive service technicians and mechanics    * Auto Clutch Rebuilder* Auto Clutch Specialist* Auto Radiator Specialist* Auto Suspension and Steering Mechanic* Auto Transmission Specialist* Automotive Alignment Specialist* Automotive Brake Adjuster* Automotive Brake Specialist* Automotive Brake Technician* Automotive Fuel Injection Servicer* Automotive Fuel Systems Converter* Automotive Specialty Technician* Hybrid Car Mechanic* Motor Tune-Up Specialist","=""49-3023""","703.8","705.9","2.1","0.3","69.0","44,050","Postsecondary nondegree award","5","None","4","Short-term on-the-job training","5"
"Avionics technicians    * Aircraft Armament Mechanic* Aircraft Electrician* Aircraft Instrument Mechanic* Airplane Electrician* Automatic Pilot Mechanic* Aviation Electronics Technician* In-Flight Refueling System Repairer","=""49-2091""","21.2","23.2","2.1","9.7","1.7","67,840","Associate's degree","4","None","4","None","6"
"Baggage porters and bellhops    * Baggage Porter* Bell Staff* Bellperson* Bellstaff* Hotel Baggage Handler* Luggage Attendant* Redcap* Skycap","=""39-6011""","28.6","35.6","7.0","24.5","4.8","27,050","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Bailiffs    * Bailiff* City Bailiff* County Bailiff* Court Bailiff* Court Officer* Court Security Officer* Deputy Bailiff","=""33-3011""","18.5","18.6","0.1","0.4","1.7","48,000","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Bakers    * Bagel Maker* Bread Baker* Dough Maker* Pastry Baker* Pastry Finisher* Pie Baker* Pie Maker","=""51-3011""","193.4","211.7","18.4","9.5","28.3","29,400","No formal educational credential","8","None","4","Long-term on-the-job training","3"
"Barbers    * Barber* Barber Apprentice* Master Barber","=""39-5011""","53.0","62.3","9.3","17.5","6.4","32,470","Postsecondary nondegree award","5","None","4","None","6"
"Bartenders    * Barkeep* Bartender* Drink Mixer* Mixologist* Taproom Attendant","=""35-3011""","492.3","652.3","159.9","32.5","111.3","24,960","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Bicycle repairers    * Bicycle Mechanic* Bicycle Repairer* Bicycle Service Technician* Bike Mechanic","=""49-3091""","12.1","12.5","0.4","3.7","1.4","32,630","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Bill and account collectors    * Accounts Collector* Bill Collector* Billing Representative* Collection Agent* Collections Clerk* Collections Representative* Debt Collector* Installment Agent* Installment Loan Collector* Insurance Collector* Payment Collector* Repossessor","=""43-3011""","223.1","202.6","-20.5","-9.2","20.8","38,100","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Billing and posting clerks    * Billing Clerk* Invoice Clerk* Invoice Control Clerk* Patient Account Representative* Posting Clerk* Statement Clerk* Statement Distribution Clerk* Statement Processor","=""43-3021""","458.5","471.6","13.1","2.9","48.9","39,590","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Biochemists and biophysicists    * Biochemist* Biological Chemist* Biophysicist* Clinical Biochemist* Physical Biochemist","=""19-1021""","34.8","36.5","1.6","4.7","3.2","94,270","Doctoral or professional degree","1","None","4","None","6"
"Bioengineers and biomedical engineers    * Bio-Mechanical Engineer* Biochemical Engineer* Biomaterials Engineer* Biomedical Engineer* Dialysis Engineer* Genetic Engineer","=""17-2031""","19.3","20.5","1.1","5.9","1.4","92,620","Bachelor's degree","3","None","4","None","6"
"Biological science teachers, postsecondary    * Anatomy Professor* Bacteriology Professor* Biochemistry Professor* Botany Professor* Embryology Professor* Microbiology Professor* Zoology Professor","=""25-1042""","60.5","68.2","7.7","12.8","6.7","85,600","Doctoral or professional degree","1","None","4","None","6"
"Biological scientists, all other    * Biologist* Bryologist* Embryologist* Osteologist* Paleobotanist* Phytopathologist* Plant Etiologist","=""19-1029""","46.2","47.9","1.7","3.7","4.2","85,290","Bachelor's degree","3","None","4","None","6"
"Biological technicians    * Bacteriology Technician* Biochemistry Technician* Biology Laboratory Assistant* Marine Fisheries Technician* Microbiology Technician* Wildlife Technician","=""19-4021""","87.6","93.5","5.9","6.7","11.8","46,340","Bachelor's degree","3","None","4","None","6"
"Boilermakers    * Boiler Fitter* Boiler Installer* Boiler Mechanic* Boiler Setter* Boiler Tester* Boilermaker* Boilermaker Mechanic","=""47-2011""","14.9","14.7","-0.2","-1.0","1.3","65,360","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Bookkeeping, accounting, and auditing clerks    * Accounts Receivable Assistant* Accounts Receivable Clerk* Auditing Clerk* Bookkeeper* Fixed Capital Clerk* Foreign Exchange Position Clerk* Mortgage Accounting Clerk","=""43-3031""","1,620.0","1,571.9","-48.1","-3.0","170.2","42,410","Some college, no degree","6","None","4","Moderate-term on-the-job training","4"
"Brickmasons and blockmasons    * Adobe Layer* Block Layer* Blockmason* Brick Chimney Builder* Brick Setter* Bricklayer* Brickmason* Brickmason Apprentice* Firebrick Layer* Furnace Mason* Pottery Kiln Builder* Refractory Bricklayer","=""47-2021""","69.6","65.9","-3.7","-5.3","6.0","55,080","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Bridge and lock tenders    * Bridge Operator* Bridge Tender* Dam Tender* Lighthouse Keeper* Lock and Dam Operator","=""53-6011""","3.2","3.3","0.1","2.8","0.4","52,340","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Broadcast announcers and radio disc jockeys    * Commercial Announcer* Game Show Host* Radio Artist* Radio Disk Jockey* Radio Host* Talk Show Host* Television Host","=""27-3011""","30.7","33.9","3.2","10.3","3.3","36,770","Bachelor's degree","3","None","4","None","6"
"Broadcast technicians    * Audio Engineer* Broadcast Engineer* Broadcast Maintenance Engineer* Broadcast Operations Engineer* Radio Station Audio Engineer* Radio/Television Technician* Remote Broadcast Engineer* Telecasting Engineer* Television Audio Engineer","=""27-4012""","28.4","31.6","3.2","11.2","3.3","43,570","Associate's degree","4","None","4","Short-term on-the-job training","5"
"Brokerage clerks    * Brokerage Clerk* Brokerage Purchase-and-Sale Clerk* Commodities Clerk* Dividend Clerk* Securities Clerk","=""43-4011""","45.5","41.1","-4.4","-9.8","4.2","55,270","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Budget analysts    * Budget Analyst* Budget Coordinator* Budget Examiner* Budget Officer* Cost Analyst","=""13-2031""","52.5","55.0","2.5","4.8","4.3","78,970","Bachelor's degree","3","None","4","None","6"
"Building cleaning workers, all other    * Building Pressure Washer* Chimney Sweep* Chimney Sweeper","=""37-2019""","18.4","19.1","0.7","3.5","2.6","34,510","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Bus and truck mechanics and diesel engine specialists    * Biodiesel Engine Specialist* Diesel Engine Fitter* Diesel Service Technician* Marine Diesel Technician* School Bus Mechanic* Tractor Trailer Mechanic* Truck Engine Technician","=""49-3031""","275.4","296.8","21.4","7.8","28.1","50,200","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Bus drivers, transit and intercity","=""53-3052""","165.2","200.0","34.8","21.0","24.6","45,900","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Business teachers, postsecondary    * Accounting Professor* Banking and Finance Instructor* Business Administration Professor* Finance Professor* Management Professor* Marketing Instructor* Marketing Professor","=""25-1011""","96.5","102.8","6.2","6.5","9.7","88,010","Doctoral or professional degree","1","None","4","None","6"
"Butchers and meat cutters    * Butcher* Butcher Apprentice* Halal Butcher* Kosher Butcher* Meat Carver* Meat Clerk* Meat Counter Worker","=""51-3021""","145.0","137.2","-7.8","-5.4","15.4","32,900","No formal educational credential","8","None","4","Long-term on-the-job training","3"
"Buyers and purchasing agents","=""13-1020""","439.0","415.4","-23.6","-5.4","39.5","66,690","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Cabinetmakers and bench carpenters    * Cabinet Builder* Cabinetmaker* Marquetry Worker* Wood Furniture Assembler* Wood Working Assembler","=""51-7011""","103.9","113.1","9.1","8.8","11.0","36,710","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Calibration technologists and technicians and engineering technologists and technicians, except drafters, all other","=""17-3098""","94.7","98.8","4.1","4.4","9.3","64,190","Associate's degree","4","None","4","None","6"
"Camera and photographic equipment repairers    * Aircraft Photographic Equipment Repairer* Camera Machinist* Camera Repair Technician* Camera Repairer* Photographic Equipment Technician","=""49-9061""","3.7","4.0","0.3","8.0","0.4","40,330","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Camera operators, television, video, and film    * Cinematographer* Electronic News Gathering Camera Operator* Motion Picture Camera Operator* Movie Shot Camera Operator* News Camera Operator* News Videographer* Television Camera Operator* Video Camera Operator","=""27-4031""","30.3","37.6","7.3","24.1","3.9","57,200","Bachelor's degree","3","None","4","None","6"
"Captains, mates, and pilots of water vessels    * Barge Captain* Barge Master* Boat Pilot* Car Ferry Captain* Car Ferry Master* Coastal Tug Mate* Deck Officer* Docking Pilot* Ferry Boat Captain* Ferry Captain* Ferryboat Captain* First Mate* Harbor Boat Pilot* Harbor Pilot* Harbor Tug Captain* Port Captain* River Boat Captain* River Pilot* Sailboat Captain* Ship Harbor Pilot* Tow Boat Captain* Towboat Pilot* Tug Boat Captain* Tugboat Captain* Tugboat Mate* Tugboat Operator* Tugboat Pilot","=""53-5021""","29.9","33.9","4.0","13.5","3.6","77,130","Postsecondary nondegree award","5","Less than 5 years","2","None","6"
"Cardiovascular technologists and technicians    * Cardiac Catheterization Laboratory Technologist* Cardiac Catheterization Technologist* Cardiac Monitor Technician* Cardiac Technician* Cardiopulmonary Technologist* Cardiovascular Interventional Technologist* Cardiovascular Technologist* EKG Technician* Echocardiogram Technician* Echocardiographer* Echocardiographic Technologist* Echocardiography Technician* Echocardiology Technologist* Electrocardiogram Technician* Electrocardiograph Operator* Pulmonary Function Technologist","=""29-2031""","58.2","63.0","4.7","8.1","4.7","59,100","Associate's degree","4","None","4","None","6"
"Career/technical education teachers, middle school    * Middle School Vocational Education Teacher","=""25-2023""","11.5","12.4","0.9","7.4","0.9","62,270","Bachelor's degree","3","Less than 5 years","2","None","6"
"Career/technical education teachers, postsecondary    * Architectural Drafting Instructor* Aviation Maintenance Instructor* Barbering Instructor* Barbering Teacher* Building Trades Instructor* Carpentry Instructor* Commercial Art Instructor* Computer Repair Instructor* Computer-Aided Drafting and Design Instructor* Cosmetology Professor* Electrical Technology Instructor* Electronics Technology Instructor* Industrial Electrical Technology Instructor* Industrial Maintenance Instructor* Machine Tool Technician Instructor* Masonry Instructor* Massage Therapy Instructor* Mechanical Maintenance Instructor* Paralegal Instructor* Postsecondary Career and Technical Education Teacher* Residential Construction Instructor* Skin Care Instructor* Upholstery Instructor* Vocational Horticulture Instructor* Welding Instructor","=""25-1194""","114.2","118.1","3.8","3.4","11.0","55,620","Bachelor's degree","3","Less than 5 years","2","None","6"
"Career/technical education teachers, secondary school    * High School Auto Repair Teacher* High School Vocational Education Teacher","=""25-2032""","72.3","77.5","5.1","7.1","5.5","62,460","Bachelor's degree","3","Less than 5 years","2","None","6"
