,occ_code,occ_title,occ_group,tot_emp,h_mean,h_median,a_median,year
411,43-0000,Office and Administrative Support Occupations,major,22754570,13.42,12.34,25670,2002
464,45-0000,"Farming, Fishing, and Forestry Occupations",major,451140,9.72,8.01,16660,2002
477,47-0000,Construction and Extraction Occupations,major,6124600,17.47,15.94,33160,2002
532,49-0000,"Installation, Maintenance, and Repair Occupations",major,5215970,17.2,16.26,33830,2002
582,51-0000,Production Occupations,major,10726670,13.55,12.02,25000,2002
687,53-0000,Transportation and Material Moving Occupations,major,9395000,13.09,11.15,23180,2002
1,11-0000,Management occupations,major,6653480,         39.80,         34.07,         70870,2003
31,13-0000,Business and financial operations occupations,major,4924210,         26.71,         23.68,         49260,2003
58,15-0000,Computer and mathematical occupations,major,2827010,         30.40,         28.87,         60060,2003
73,17-0000,Architecture and engineering occupations,major,2376650,         28.48,         26.89,         55930,2003
106,19-0000,"Life, physical, and social science occupations",major,1113130,         25.58,         22.58,         46970,2003
142,21-0000,Community and social services occupations,major,1615610,         17.03,         15.58,         32400,2003
156,23-0000,Legal occupations,major,951510,         37.94,         28.46,         59200,2003
165,25-0000,"Education, training, and library occupations",major,7831630,         19.55,         18.00,         37430,2003
221,27-0000,"Arts, design, entertainment, sports, and media occupations",major,1538150,         20.49,         16.88,         35100,2003
255,29-0000,Healthcare practitioners and technical occupations,major,6173760,         26.62,         21.63,         44990,2003
299,31-0000,Healthcare support occupations,major,3208770,         10.94,         10.27,         21360,2003
314,33-0000,Protective service occupations,major,2999630,         16.39,         14.25,         29650,2003
333,35-0000,Food preparation and serving related occupations,major,10216620,          8.31,          7.40,         15390,2003
349,37-0000,Building and grounds cleaning and maintenance occupations,major,4260380,         10.12,          9.02,         18770,2003
358,39-0000,Personal care and service occupations,major,2988590,         10.28,          8.48,         17640,2003
390,41-0000,Sales and related occupations,major,13534180,         15.02,         10.20,         21210,2003
411,43-0000,Office and administrative support occupations,major,22678010,         13.59,         12.52,         26040,2003
464,45-0000,"Farming, fishing, and forestry occupations",major,461630,          9.71,          8.13,         16910,2003
477,47-0000,Construction and extraction occupations,major,6085510,         17.62,         16.04,         33360,2003
532,49-0000,"Installation, maintenance, and repair occupations",major,5226080,         17.41,         16.49,         34290,2003
582,51-0000,Production occupations,major,10488450,         13.80,         12.32,         25630,2003
687,53-0000,Transportation and material moving occupations,major,9414920,         13.27,         11.31,         23520,2003
1,11-0000,Management occupations,major,6200940,         41.12,         35.77,         74390,2004
36,13-0000,Business and financial operations occupations,major,5131840,         27.10,         24.21,         50350,2004
67,15-0000,Computer and mathematical occupations,major,2915300,         31.50,         30.11,         62620,2004
84,17-0000,Architecture and engineering occupations,major,2372770,         29.69,         27.94,         58120,2004
120,19-0000,"Life, physical, and social science occupations",major,1131390,         26.89,         23.88,         49670,2004
165,21-0000,Community and social services occupations,major,1673740,         17.52,         16.09,         33460,2004
183,23-0000,Legal occupations,major,958520,         38.42,         29.24,         60820,2004
193,25-0000,"Education, training, and library occupations",major,7891810,         20.23,         18.57,         38620,2004
255,27-0000,"Arts, design, entertainment, sports, and media occupations",major,1595710,         21.01,         17.39,         36170,2004
297,29-0000,Healthcare practitioners and technical occupations,major,6359380,         27.55,         22.71,         47240,2004
351,31-0000,Healthcare support occupations,major,3271350,         11.17,         10.45,         21730,2004
367,33-0000,Protective service occupations,major,3006100,         16.75,         14.57,         30300,2004
389,35-0000,Food preparation and serving related occupations,major,10507390,          8.43,          7.58,         15770,2004
408,37-0000,Building and grounds cleaning and maintenance occupations,major,4300440,         10.33,          9.28,         19290,2004
419,39-0000,Personal care and service occupations,major,3099550,         10.48,          8.68,         18050,2004
454,41-0000,Sales and related occupations,major,13507840,         15.49,         10.51,         21860,2004
477,43-0000,Office and administrative support occupations,major,22649080,         13.95,         12.84,         26710,2004
533,45-0000,"Farming, fishing, and forestry occupations",major,458850,          9.76,          8.23,         17110,2004
549,47-0000,Construction and extraction occupations,major,6170410,         18.04,         16.38,         34060,2004
609,49-0000,"Installation, maintenance, and repair occupations",major,5215390,         17.89,         16.91,         35180,2004
661,51-0000,Production occupations,major,10128200,         14.08,         12.65,         26300,2004
772,53-0000,Transportation and material moving occupations,major,9581320,         13.41,         11.48,         23880,2004
1,11-0000,Management occupations,major,       5960560,         42.52,         37.32,         77630,2005
36,13-0000,Business and financial operations occupations,major,       5410410,         27.85,         24.88,         51760,2005
67,15-0000,Computer and mathematical occupations,major,       2952740,         32.26,         30.74,         63940,2005
84,17-0000,Architecture and engineering occupations,major,       2382480,         30.73,         28.94,         60200,2005
120,19-0000,"Life, physical, and social science occupations",major,       1185730,         27.90,         24.78,         51540,2005
165,21-0000,Community and social services occupations,major,       1692950,         18.04,         16.52,         34360,2005
183,23-0000,Legal occupations,major,        986740,         38.98,         30.24,         62890,2005
193,25-0000,"Education, training, and library occupations",major,       8078500,         20.89,         19.04,         39600,2005
255,27-0000,"Arts, design, entertainment, sports, and media occupations",major,       1683310,         21.30,         17.71,         36830,2005
297,29-0000,Healthcare practitioners and technical occupations,major,       6547350,         28.45,         23.83,         49570,2005
351,31-0000,Healthcare support occupations,major,       3363800,         11.47,         10.64,         22140,2005
367,33-0000,Protective service occupations,major,       3056660,         17.19,         15.00,         31200,2005
389,35-0000,Food preparation and serving related occupations,major,      10797700,          8.58,          7.73,         16070,2005
408,37-0000,Building and grounds cleaning and maintenance occupations,major,       4342550,         10.55,          9.50,         19760,2005
419,39-0000,Personal care and service occupations,major,       3188850,         10.67,          8.89,         18490,2005
453,41-0000,Sales and related occupations,major,      13930320,         15.77,         10.64,         22140,2005
476,43-0000,Office and administrative support occupations,major,      22784330,         14.28,         13.10,         27240,2005
532,45-0000,"Farming, fishing, and forestry occupations",major,        443070,         10.10,          8.41,         17490,2005
548,47-0000,Construction and extraction occupations,major,       6370400,         18.39,         16.66,         34650,2005
608,49-0000,"Installation, maintenance, and repair occupations",major,       5305260,         18.30,         17.25,         35870,2005
660,51-0000,Production occupations,major,      10249220,         14.37,         12.91,         26850,2005
771,53-0000,Transportation and material moving occupations,major,       9594920,         13.85,         11.90,         24750,2005
1,11-0000,Management occupations,major,       5892900,         44.20,         38.93,         80980,2006
36,13-0000,Business and financial operations occupations,major,       5826140,         28.85,         25.81,         53690,2006
67,15-0000,Computer and mathematical occupations,major,       3076200,         33.29,         31.80,         66130,2006
84,17-0000,Architecture and engineering occupations,major,       2430250,         31.82,         30.00,         62390,2006
120,19-0000,"Life, physical, and social science occupations",major,       1231070,         28.68,         25.49,         53010,2006
165,21-0000,Community and social services occupations,major,       1749210,         18.75,         17.21,         35790,2006
183,23-0000,Legal occupations,major,        976740,         41.04,         32.56,         67730,2006
193,25-0000,"Education, training, and library occupations",major,       8206440,         21.79,         19.76,         41100,2006
255,27-0000,"Arts, design, entertainment, sports, and media occupations",major,       1727380,         22.17,         18.44,         38340,2006
297,29-0000,Healthcare practitioners and technical occupations,major,       6713780,         29.82,         24.99,         51980,2006
351,31-0000,Healthcare support occupations,major,       3483270,         11.83,         11.00,         22870,2006
367,33-0000,Protective service occupations,major,       3024840,         17.81,         15.42,         32070,2006
389,35-0000,Food preparation and serving related occupations,major,      11029280,          8.86,          7.90,         16430,2006
408,37-0000,Building and grounds cleaning and maintenance occupations,major,       4396250,         10.86,          9.75,         20290,2006
419,39-0000,Personal care and service occupations,major,       3249760,         11.02,          9.17,         19070,2006
453,41-0000,Sales and related occupations,major,      14114860,         16.52,         11.14,         23160,2006
476,43-0000,Office and administrative support occupations,major,      23077190,         14.60,         13.50,         28080,2006
532,45-0000,"Farming, fishing, and forestry occupations",major,        450040,         10.49,          8.63,         17950,2006
548,47-0000,Construction and extraction occupations,major,       6680710,         18.89,         17.04,         35450,2006
608,49-0000,"Installation, maintenance, and repair occupations",major,       5352420,         18.78,         17.65,         36720,2006
660,51-0000,Production occupations,major,      10268510,         14.65,         13.16,         27360,2006
771,53-0000,Transportation and material moving occupations,major,       9647730,         14.16,         12.17,         25300,2006
1,11-0000,Management occupations,major,6003930,         46.22,         40.60,         84440,2007
36,13-0000,Business and financial operations occupations,major,6015500,         30.01,         26.87,         55880,2007
67,15-0000,Computer and mathematical occupations,major,3191360,         34.71,         33.21,         69070,2007
84,17-0000,Architecture and engineering occupations,major,2486020,         33.11,         31.14,         64780,2007
120,19-0000,"Life, physical, and social science occupations",major,1255670,         29.82,         26.59,         55300,2007
165,21-0000,Community and social services occupations,major,1793040,         19.49,         17.87,         37170,2007
183,23-0000,Legal occupations,major,998590,         42.53,         33.54,         69760,2007
193,25-0000,"Education, training, and library occupations",major,8316360,         22.41,         20.47,         42580,2007
255,27-0000,"Arts, design, entertainment, sports, and media occupations",major,1761270,         23.27,         19.28,         40100,2007
297,29-0000,Healthcare practitioners and technical occupations,major,6877680,         31.26,         26.17,         54440,2007
351,31-0000,Healthcare support occupations,major,3625240,         12.31,         11.45,         23820,2007
367,33-0000,Protective service occupations,major,3087650,         18.63,         16.11,         33510,2007
389,35-0000,Food preparation and serving related occupations,major,11273850,          9.35,          8.24,         17150,2007
408,37-0000,Building and grounds cleaning and maintenance occupations,major,4403900,         11.33,         10.18,         21170,2007
419,39-0000,Personal care and service occupations,major,3339510,         11.53,          9.50,         19760,2007
454,41-0000,Sales and related occupations,major,14332020,         16.94,         11.41,         23740,2007
477,43-0000,Office and administrative support occupations,major,23270810,         15.00,         13.91,         28920,2007
533,45-0000,"Farming, fishing, and forestry occupations",major,448000,         10.89,          8.94,         18590,2007
549,47-0000,Construction and extraction occupations,major,6708200,         19.53,         17.57,         36540,2007
609,49-0000,"Installation, maintenance, and repair occupations",major,5390090,         19.20,         18.04,         37520,2007
661,51-0000,Production occupations,major,10146560,         15.05,         13.53,         28130,2007
772,53-0000,Transportation and material moving occupations,major,9629030,         14.75,         12.65,         26320,2007
1,11-0000,Management occupations,major,6152650,         48.23,         42.15,         87670,2008
36,13-0000,Business and financial operations occupations,major,6135520,         31.12,         27.89,         58010,2008
67,15-0000,Computer and mathematical science occupations,major,3308260,         35.82,         34.26,         71270,2008
84,17-0000,Architecture and engineering occupations,major,2521630,         34.34,         32.09,         66750,2008
120,19-0000,"Life, physical, and social science occupations",major,1296840,         30.90,         27.51,         57220,2008
165,21-0000,Community and social services occupations,major,1861750,         20.09,         18.38,         38220,2008
183,23-0000,Legal occupations,major,1003270,         44.36,         34.49,         71740,2008
193,25-0000,"Education, training, and library occupations",major,8451250,         23.30,         21.26,         44230,2008
255,27-0000,"Arts, design, entertainment, sports, and media occupations",major,1804940,         24.36,         19.99,         41580,2008
297,29-0000,Healthcare practitioners and technical occupations,major,7076800,         32.64,         27.20,         56580,2008
351,31-0000,Healthcare support occupations,major,3779280,         12.66,         11.80,         24540,2008
367,33-0000,Protective service occupations,major,3128960,         19.33,         16.65,         34630,2008
389,35-0000,Food preparation and serving related occupations,major,11438550,          9.72,          8.59,         17860,2008
408,37-0000,Building and grounds cleaning and maintenance occupations,major,4429870,         11.72,         10.52,         21880,2008
419,39-0000,Personal care and service occupations,major,3437520,         11.59,          9.82,         20420,2008
454,41-0000,Sales and related occupations,major,14336430,         17.35,         11.69,         24310,2008
477,43-0000,Office and administrative support occupations,major,23231750,         15.49,         14.32,         29780,2008
533,45-0000,"Farming, fishing, and forestry occupations",major,438490,         11.32,          9.34,         19420,2008
549,47-0000,Construction and extraction occupations,major,6548760,         20.36,         18.24,         37940,2008
609,49-0000,"Installation, maintenance, and repair occupations",major,5374850,         19.82,         18.60,         38680,2008
661,51-0000,Production occupations,major,9919120,         15.54,         13.99,         29090,2008
772,53-0000,Transportation and material moving occupations,major,9508750,         15.12,         13.14,         27340,2008
1,11-0000,Management occupations,major,6116380,         49.47,         42.95,         89330,2009
36,13-0000,Business and financial operations occupations,major,6063670,         31.68,         28.32,         58910,2009
67,15-0000,Computer and mathematical science occupations,major,3303690,         36.68,         35.05,         72900,2009
84,17-0000,Architecture and engineering occupations,major,2412730,         35.38,         33.07,         68790,2009
120,19-0000,"Life, physical, and social science occupations",major,1308380,         31.57,         28.03,         58300,2009
165,21-0000,Community and social services occupations,major,1891320,         20.55,         18.74,         38970,2009
183,23-0000,Legal occupations,major,999020,         46.07,         35.59,         74030,2009
193,25-0000,"Education, training, and library occupations",major,8488740,         23.81,         21.74,         45210,2009
255,27-0000,"Arts, design, entertainment, sports, and media occupations",major,1745670,         24.87,         20.41,         42450,2009
297,29-0000,Healthcare practitioner and technical occupations,major,7200950,         33.51,         27.74,         57690,2009
351,31-0000,Healthcare support occupations,major,3886690,         12.84,         11.89,         24720,2009
367,33-0000,Protective service occupations,major,3172420,         20.07,         17.39,         36170,2009
389,35-0000,Food preparation and serving related occupations,major,11218260,         10.04,          8.89,         18490,2009
408,37-0000,Building and grounds cleaning and maintenance occupations,major,4269480,         12.00,         10.75,         22350,2009
419,39-0000,Personal care and service occupations,major,3461910,         11.87,          9.99,         20770,2009
454,41-0000,Sales and related occupations,major,13715050,         17.32,         11.51,         23940,2009
477,43-0000,Office and administrative support occupations,major,22336450,         15.86,         14.62,         30410,2009
533,45-0000,"Farming, fishing, and forestry occupations",major,419200,         11.53,          9.43,         19610,2009
549,47-0000,Construction and extraction occupations,major,5751630,         20.84,         18.64,         38770,2009
609,49-0000,"Installation, maintenance, and repair occupations",major,5114150,         20.30,         19.04,         39600,2009
661,51-0000,Production occupations,major,8927130,         16.01,         14.41,         29970,2009
772,53-0000,Transportation and material moving occupations,major,8844700,         15.47,         13.46,         28010,2009
1,11-0000,Management Occupations,major,6022860,50.69,43.96,91440,2010
35,13-0000,Business and Financial Operations Occupations,major,6090910,32.54,29.17,60670,2010
66,15-0000,Computer and Mathematical Occupations,major,3283950,37.13,35.44,73720,2010
83,17-0000,Architecture and Engineering Occupations,major,2305530,36.32,33.95,70610,2010
119,19-0000,"Life, Physical, and Social Science Occupations",major,1064510,31.92,28.14,58530,2010
163,21-0000,Community and Social Service Occupations,major,1901180,20.76,18.89,39280,2010
181,23-0000,Legal Occupations,major,992650,46.6,35.86,74580,2010
191,25-0000,"Education, Training, and Library Occupations",major,8457870,24.25,21.97,45690,2010
253,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1716640,25.14,20.61,42870,2010
295,29-0000,Healthcare Practitioners and Technical Occupations,major,7346580,34.27,28.12,58490,2010
349,31-0000,Healthcare Support Occupations,major,3962930,12.94,11.9,24760,2010
365,33-0000,Protective Service Occupations,major,3187810,20.43,17.63,36660,2010
388,35-0000,Food Preparation and Serving Related Occupations,major,11027340,10.21,9.02,18770,2010
407,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4175550,12.16,10.81,22490,2010
418,39-0000,Personal Care and Service Occupations,major,3425220,11.82,9.92,20640,2010
452,41-0000,Sales and Related Occupations,major,13437980,17.69,11.72,24370,2010
475,43-0000,Office and Administrative Support Occupations,major,21503800,16.09,14.77,30710,2010
531,45-0000,"Farming, Fishing, and Forestry Occupations",major,408040,11.7,9.44,19630,2010
546,47-0000,Construction and Extraction Occupations,major,5072530,21.09,18.79,39080,2010
606,49-0000,"Installation, Maintenance, and Repair Occupations",major,4928960,20.58,19.29,40120,2010
658,51-0000,Production Occupations,major,8236340,16.24,14.58,30330,2010
766,53-0000,Transportation and Material Moving Occupations,major,8547980,15.7,13.66,28400,2010
1,11-0000,Management Occupations,major,6183820,51.64,44.65,92880,2011
35,13-0000,Business and Financial Operations Occupations,major,6178070,33.05,29.67,61700,2011
66,15-0000,Computer and Mathematical Occupations,major,3406720,37.85,36.1,75080,2011
83,17-0000,Architecture and Engineering Occupations,major,2310830,37.08,34.65,72070,2011
119,19-0000,"Life, Physical, and Social Science Occupations",major,1082370,32.44,28.52,59330,2011
163,21-0000,Community and Social Service Occupations,major,1890410,21.07,19.17,39880,2011
181,23-0000,Legal Occupations,major,1002330,47.3,36.28,75470,2011
191,25-0000,"Education, Training, and Library Occupations",major,8409060,24.46,22.14,46060,2011
253,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1725670,25.89,20.98,43640,2011
295,29-0000,Healthcare Practitioners and Technical Occupations,major,7514980,34.97,28.64,59570,2011
349,31-0000,Healthcare Support Occupations,major,3954070,13.16,12.08,25140,2011
365,33-0000,Protective Service Occupations,major,3202500,20.54,17.66,36740,2011
388,35-0000,Food Preparation and Serving Related Occupations,major,11218710,10.3,9.09,18900,2011
407,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4191750,12.29,10.87,22620,2011
418,39-0000,Personal Care and Service Occupations,major,3619250,11.84,9.96,20730,2011
452,41-0000,Sales and Related Occupations,major,13646450,18.04,11.94,24840,2011
475,43-0000,Office and Administrative Support Occupations,major,21384330,16.4,15.02,31250,2011
531,45-0000,"Farming, Fishing, and Forestry Occupations",major,409590,11.68,9.36,19460,2011
546,47-0000,Construction and Extraction Occupations,major,4956770,21.46,19.15,39820,2011
606,49-0000,"Installation, Maintenance, and Repair Occupations",major,4988980,20.86,19.52,40600,2011
658,51-0000,Production Occupations,major,8365980,16.45,14.74,30670,2011
766,53-0000,Transportation and Material Moving Occupations,major,8635940,15.96,13.83,28760,2011
1,11-0000,Management Occupations,major,6390430,52.2,45.15,93910,2012
2,11-1000,Top Executives,minor,2212150,57.72,47.86,99550,2012
4,11-1011,Chief Executives,detailed,255940,85.02,80.84,168140,2012
6,11-1021,General and Operations Managers,detailed,1899460,55.22,45.88,95440,2012
8,11-1031,Legislators,detailed,56760,*,*,19780,2012
9,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,598110,58.24,51.9,107950,2012
11,11-2011,Advertising and Promotions Managers,detailed,28420,51.47,42.59,88590,2012
13,11-2021,Marketing Managers,detailed,171430,62.44,57.44,119480,2012
14,11-2022,Sales Managers,detailed,344730,57.68,50.6,105260,2012
16,11-2031,Public Relations and Fundraising Managers,detailed,53520,52.05,45.89,95450,2012
17,11-3000,Operations Specialties Managers,minor,1532610,53.54,48.42,100720,2012
19,11-3011,Administrative Services Managers,detailed,264090,42.63,38.98,81080,2012
21,11-3021,Computer and Information Systems Managers,detailed,309740,62.08,58.15,120950,2012
23,11-3031,Financial Managers,detailed,484910,59.26,52.76,109740,2012
25,11-3051,Industrial Production Managers,detailed,160550,46.87,42.88,89190,2012
27,11-3061,Purchasing Managers,detailed,69400,51.06,48.16,100170,2012
29,11-3071,"Transportation, Storage, and Distribution Managers",detailed,98600,42.75,39.34,81830,2012
31,11-3111,Compensation and Benefits Managers,detailed,19960,50.92,45.79,95250,2012
33,11-3121,Human Resources Managers,detailed,98020,52.69,47.94,99720,2012
35,11-3131,Training and Development Managers,detailed,27350,49.91,45.86,95400,2012
36,11-9000,Other Management Occupations,minor,2047560,43.46,39.39,81940,2012
38,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,3970,35.45,33.32,69300,2012
40,11-9021,Construction Managers,detailed,207580,43.73,39.8,82790,2012
42,11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,48410,24.55,21.13,43950,2012
43,11-9032,"Education Administrators, Elementary and Secondary School",detailed,225970,*,*,87760,2012
44,11-9033,"Education Administrators, Postsecondary",detailed,122930,47.77,41.58,86490,2012
45,11-9039,"Education Administrators, All Other",detailed,29360,39.37,36.95,76860,2012
47,11-9041,Architectural and Engineering Managers,detailed,187640,64.06,60.03,124870,2012
49,11-9051,Food Service Managers,detailed,189510,25.28,23.06,47960,2012
51,11-9061,Funeral Service Managers,detailed,9130,38.43,32.08,66720,2012
53,11-9071,Gaming Managers,detailed,4490,34.32,31.36,65220,2012
55,11-9081,Lodging Managers,detailed,29730,26.35,22.5,46810,2012
57,11-9111,Medical and Health Services Managers,detailed,293490,47.34,42.59,88580,2012
59,11-9121,Natural Sciences Managers,detailed,48560,62.69,55.64,115730,2012
61,11-9131,Postmasters and Mail Superintendents,detailed,23790,29.85,30.31,63050,2012
63,11-9141,"Property, Real Estate, and Community Association Managers",detailed,159570,30.56,25.29,52610,2012
65,11-9151,Social and Community Service Managers,detailed,115360,30.99,28.83,59970,2012
67,11-9161,Emergency Management Directors,detailed,9550,31.12,28.73,59770,2012
69,11-9199,"Managers, All Other",detailed,338520,50.79,48.51,100890,2012
70,13-0000,Business and Financial Operations Occupations,major,6419370,33.44,30.05,62500,2012
71,13-1000,Business Operations Specialists,minor,3987180,32.66,29.92,62230,2012
73,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,11770,42.61,30.47,63370,2012
75,13-1021,"Buyers and Purchasing Agents, Farm Products",detailed,10370,28.74,26.79,55720,2012
76,13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,108670,27.6,24.75,51470,2012
77,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,280950,29.96,28.25,58760,2012
79,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,263280,29.58,28.83,59960,2012
80,13-1032,"Insurance Appraisers, Auto Damage",detailed,11770,28.96,28.18,58610,2012
82,13-1041,Compliance Officers,detailed,227500,31.23,29.82,62020,2012
84,13-1051,Cost Estimators,detailed,195230,30.33,28.3,58860,2012
86,13-1071,Human Resources Specialists,detailed,394380,29.16,26.83,55800,2012
87,13-1074,Farm Labor Contractors,detailed,1030,18.55,14.74,30660,2012
88,13-1075,Labor Relations Specialists,detailed,75930,27.02,26.28,54660,2012
90,13-1081,Logisticians,detailed,119560,36.38,34.99,72780,2012
92,13-1111,Management Analysts,detailed,540440,42.34,37.79,78600,2012
94,13-1121,"Meeting, Convention, and Event Planners",detailed,70480,23.96,22.02,45810,2012
96,13-1131,Fundraisers,detailed,48530,26.55,24.37,50680,2012
98,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,85620,29.9,28.41,59090,2012
100,13-1151,Training and Development Specialists,detailed,217930,28.64,26.89,55930,2012
102,13-1161,Market Research Analysts and Marketing Specialists,detailed,392740,32.39,28.99,60300,2012
104,13-1199,"Business Operations Specialists, All Other",detailed,931010,33.9,31.31,65120,2012
105,13-2000,Financial Specialists,minor,2432190,34.7,30.32,63070,2012
107,13-2011,Accountants and Auditors,detailed,1129340,34.15,30.55,63550,2012
109,13-2021,Appraisers and Assessors of Real Estate,detailed,59530,26.53,23.82,49540,2012
111,13-2031,Budget Analysts,detailed,58280,34.66,33.31,69280,2012
113,13-2041,Credit Analysts,detailed,61240,33.42,29.36,61080,2012
115,13-2051,Financial Analysts,detailed,239810,42.98,37,76950,2012
116,13-2052,Personal Financial Advisors,detailed,175470,43.66,32.46,67520,2012
117,13-2053,Insurance Underwriters,detailed,91810,33.27,30.22,62870,2012
119,13-2061,Financial Examiners,detailed,28060,40.49,36.44,75800,2012
121,13-2071,Credit Counselors,detailed,27640,21,18.95,39420,2012
122,13-2072,Loan Officers,detailed,286670,33.82,28.76,59820,2012
124,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,65560,26.95,24.25,50440,2012
125,13-2082,Tax Preparers,detailed,61140,20.05,16.22,33730,2012
127,13-2099,"Financial Specialists, All Other",detailed,147630,32.22,29.4,61160,2012
128,15-0000,Computer and Mathematical Occupations,major,3578220,38.55,36.67,76270,2012
129,15-1100,Computer Occupations,minor,3456500,38.47,36.67,76270,2012
131,15-1111,Computer and Information Research Scientists,detailed,24880,49.84,49.13,102190,2012
133,15-1121,Computer Systems Analysts,detailed,482040,40.29,38.31,79680,2012
134,15-1122,Information Security Analysts,detailed,72670,42.93,41.43,86170,2012
136,15-1131,Computer Programmers,detailed,316790,37.63,35.71,74280,2012
137,15-1132,"Software Developers, Applications",detailed,586340,44.85,43.3,90060,2012
